,player_id,Current_club_ID,Name,Main_position,Season_year,Market_Value,Date_of_birth,Age,Height,Foot,Ajent
5810,38415,24,Johannes Flum,Central Midfield,2015,1250000.0,14-Dec-87,27.0,"1,90",right,Unique Sports Group 
5811,196834,24,David Kinsombi,Central Midfield,2015,300000.0,12-Dec-95,19.0,"1,83",right,fair-sport GmbH 
5816,196770,24,Joel Gerezgiher,Attacking Midfield,2015,500000.0,9-Oct-95,19.0,"1,76",right,JG Management 
5819,35183,24,Stefan Aigner,Right Winger,2015,4500000.0,20-Aug-87,27.0,"1,83",right,Michael Koppold 
5824,91423,24,Vaclav Kadlec,Centre-Forward,2015,2000000.0,20-May-92,23.0,"1,81",right,Int. Sport ... 
5827,5278,167,Alexander Manninger,Goalkeeper,2015,200000.0,4-Jun-77,38.0,,,no agent 
5829,265398,167,Yannik Oettl,Goalkeeper,2015,,19-Nov-96,18.0,"1,88",right,
5832,126638,167,Jeong-ho Hong,Centre-Back,2015,2500000.0,12-Aug-89,25.0,"1,86",right,CAA Stellar 
5835,202838,167,Max Reinthaler,Centre-Back,2015,100000.0,22-Mar-95,20.0,"1,93",right,Players Factory 
5839,156730,167,Arif Ekin,Left-Back,2015,100000.0,14-Sep-95,19.0,"1,76",left,Relatives 
5845,156781,167,Maik Uhde,Defensive Midfield,2015,100000.0,23-May-94,21.0,"1,82",right,
5851,238541,167,Bastian Kurz,Left Midfield,2015,100000.0,23-Sep-96,18.0,"1,78",left,PRO Profil GmbH 
5853,2623,167,Piotr Trochowski,Attacking Midfield,2015,750000.0,22-Mar-84,31.0,"1,69",right,
5855,26878,167,Tobias Werner,Left Winger,2015,2500000.0,19-Jul-85,29.0,"1,74",left,Karl M. Herzog ... 
5863,17689,167,Sascha Mölders,Centre-Forward,2015,750000.0,20-Mar-85,30.0,"1,85",left,
5867,150080,3,Daniel Mesenhöler,Goalkeeper,2015,150000.0,24-Jul-95,19.0,"1,88",right,ISM Int. Soccer ... 
5874,34543,3,Dusan Svento,Left-Back,2015,750000.0,1-Aug-85,29.0,"1,78",left,
5879,263685,3,Kazuki Nagasawa,Central Midfield,2015,775000.0,16-Dec-91,23.0,"1,72",right,Sarcle Co. Ltd. 
5888,37788,3,Philipp Hosiner,Centre-Forward,2015,1250000.0,15-May-89,26.0,"1,79",right,Stars & Friends 
