,player_id,Current_club_ID,Name,Main_position,Season_year,Market_Value,Date_of_birth,Age,Height,Foot,Ajent
147,2514,985,Bastian Schweinsteiger,Central Midfield,2015,,"Aug 1, 1984 ",38.0,,N/A,BS Family Office 
148,183293,985,Joe Rothwell,Central Midfield,2015,3500000.0,"Jan 11, 1995 ",28.0,"1,85",right,
149,251058,985,James Weir,Central Midfield,2015,150000.0,"Aug 4, 1995 ",27.0,"1,77",right,
150,289843,985,Sean Goss,Central Midfield,2015,500000.0,"Oct 1, 1995 ",27.0,"1,79",left,
151,44068,985,Juan Mata,Attacking Midfield,2015,1500000.0,"Apr 28, 1988 ",35.0,"1,70",left,JM10 SPORT 
152,141660,985,Jesse Lingard,Attacking Midfield,2015,12000000.0,"Dec 15, 1992 ",30.0,"1,74",right,
153,203394,985,Andreas Pereira,Attacking Midfield,2015,16000000.0,"Jan 1, 1996 ",27.0,"1,78",right,Bertolucci Sports 
154,134424,985,Nick Powell,Attacking Midfield,2015,1200000.0,"Mar 23, 1994 ",29.0,"1,83",both,SEM Group plc. 
155,258923,985,Marcus Rashford,Left Winger,2015,80000000.0,"Oct 31, 1997 ",25.0,"1,85",right,Relatives 
156,177847,985,Adnan Januzaj,Right Winger,2015,7000000.0,"Feb 5, 1995 ",28.0,"1,86",left,Rafaela Pimenta 
157,3332,985,Wayne Rooney,Centre-Forward,2015,,"Oct 24, 1985 ",37.0,"1,76",right,Triple S Sports 
158,182877,985,Anthony Martial,Centre-Forward,2015,15000000.0,"Dec 5, 1995 ",27.0,"1,81",right,USFA Management 
159,167850,985,Memphis Depay,Centre-Forward,2015,16000000.0,"Feb 13, 1994 ",29.0,"1,78",right,TEAM DEPAY 
160,50935,985,Chicharito,Centre-Forward,2015,2000000.0,"Jun 1, 1988 ",34.0,"1,75",right,7DS 
161,214104,985,James Wilson,Centre-Forward,2015,300000.0,"Dec 1, 1995 ",27.0,"1,83",left,YMU Group 
162,118535,985,Will Keane,Centre-Forward,2015,1500000.0,"Jan 11, 1993 ",30.0,"1,88",right,New Era Global ... 
163,50219,31,Simon Mignolet,Goalkeeper,2015,5000000.0,"Mar 6, 1988 ",35.0,"1,93",right,SportPlus 
164,55247,31,Ádám Bogdán,Goalkeeper,2015,300000.0,"Sep 27, 1987 ",35.0,"1,94",right,Wasserman 
165,203026,31,Danny Ward,Goalkeeper,2015,8000000.0,"Jun 22, 1993 ",29.0,"1,91",right,CAA Stellar 
166,243591,31,Lawrence Vigouroux,Goalkeeper,2015,250000.0,"Nov 19, 1993 ",29.0,"1,94",right,Refuel Performance ... 
167,193861,31,Ryan Fulton,Goalkeeper,2015,350000.0,"May 23, 1996 Happy Birthday",27.0,"1,91",right,
168,47713,31,Mamadou Sakho,Centre-Back,2015,3500000.0,"Feb 13, 1990 ",33.0,"1,87",left,Sport Avenir ... 
169,37838,31,Dejan Lovren,Centre-Back,2015,3000000.0,"Jul 5, 1989 ",33.0,"1,88",right,ROOF 
